date,total_pilgrims,band,band_name
2024-01-18,62649,2,MODERATE
2024-01-19,69874,2,MODERATE
2024-01-20,76041,3,BUSY
2024-01-21,77334,3,BUSY
2024-01-22,67568,2,MODERATE
2024-01-23,63665,2,MODERATE
2024-01-24,65991,2,MODERATE
2024-01-25,54105,1,LIGHT
2024-01-26,71664,3,BUSY
2024-01-27,76104,3,BUSY
2024-01-28,85142,4,HEAVY
2024-01-29,71082,3,BUSY
2024-01-30,61135,2,MODERATE
2024-01-31,64635,2,MODERATE
2024-02-01,57223,1,LIGHT
2024-02-02,58842,1,LIGHT
2024-02-03,69232,2,MODERATE
2024-02-04,70679,3,BUSY
2024-02-05,64512,2,MODERATE
2024-02-07,65683,2,MODERATE
2024-02-08,57357,1,LIGHT
2024-02-09,62593,2,MODERATE
2024-02-10,70158,3,BUSY
2024-02-11,72256,3,BUSY
2024-02-12,69314,2,MODERATE
2024-02-13,68363,2,MODERATE
2024-02-14,67275,2,MODERATE
2024-02-15,45825,0,QUIET
2024-02-16,77483,3,BUSY
2024-02-17,71021,3,BUSY
2024-02-18,70338,3,BUSY
2024-02-19,64741,2,MODERATE
2024-02-20,62304,2,MODERATE
2024-02-21,69191,2,MODERATE
2024-02-22,57973,1,LIGHT
2024-02-23,62880,2,MODERATE
2024-02-24,72175,3,BUSY
2024-02-25,76577,3,BUSY
2024-02-26,70077,3,BUSY
2024-02-27,63421,2,MODERATE
2024-02-28,66915,2,MODERATE
2024-02-29,57338,1,LIGHT
2024-03-01,59646,1,LIGHT
2024-03-02,70422,3,BUSY
2024-03-03,76876,3,BUSY
2024-03-04,70570,3,BUSY
2024-03-05,64552,2,MODERATE
2024-03-06,65887,2,MODERATE
2024-03-07,57880,1,LIGHT
2024-03-08,63831,2,MODERATE
2024-03-09,68446,2,MODERATE
2024-03-10,76213,3,BUSY
2024-03-11,64802,2,MODERATE
2024-03-12,60110,2,MODERATE
2024-03-13,67832,2,MODERATE
2024-03-14,48444,0,QUIET
2024-03-15,66322,2,MODERATE
2024-03-16,74351,3,BUSY
2024-03-17,83825,4,HEAVY
2024-03-18,65051,2,MODERATE
2024-03-19,63251,2,MODERATE
2024-03-20,69072,2,MODERATE
2024-03-21,60485,2,MODERATE
2024-03-22,59236,1,LIGHT
2024-03-23,72986,3,BUSY
2024-03-24,80532,4,HEAVY
2024-03-25,78731,3,BUSY
2024-03-26,68563,2,MODERATE
2024-03-27,64097,2,MODERATE
2024-03-28,65992,2,MODERATE
2024-03-29,60958,2,MODERATE
2024-03-30,79907,3,BUSY
2024-03-31,81224,4,HEAVY
2024-04-01,62439,2,MODERATE
2024-04-02,56228,1,LIGHT
2024-04-03,61087,2,MODERATE
2024-04-04,62549,2,MODERATE
2024-04-05,59621,1,LIGHT
2024-04-06,75414,3,BUSY
2024-04-07,73801,3,BUSY
2024-04-08,61920,2,MODERATE
2024-04-09,55756,1,LIGHT
2024-04-10,65750,2,MODERATE
2024-04-11,62366,2,MODERATE
