date,total_pilgrims
2015-01-26,92021
2015-01-27,56777
2015-01-28,59284
2015-01-29,46901
2015-01-30,52457
2015-01-31,65469
2015-02-01,62805
2015-02-02,52977
2015-02-03,55583
2015-02-04,46741
2015-02-05,49977
2015-02-06,56659
2015-02-07,67075
2015-02-08,71777
2015-02-09,71777
2015-02-10,54933
2015-02-11,55777
2015-02-12,52173
2015-02-13,55862
2015-02-14,67972
2015-02-15,71847
2015-02-16,62237
2015-02-17,56377
2015-02-18,45971
2015-02-19,40847
2015-02-20,53377
2015-02-21,64031
2015-02-22,69854
2015-02-23,60676
2015-02-24,56007
2015-02-25,52902
2015-02-26,51859
2015-02-27,56153
2015-02-28,73754
2015-03-01,75007
2015-03-02,60015
2015-03-03,56893
2015-03-04,51937
2015-03-05,55464
2015-03-06,56373
2015-03-07,77087
2015-03-08,75175
2015-03-09,62058
2015-03-10,60041
2015-03-11,52121
2015-03-12,56942
2015-03-13,58777
2015-03-14,73408
2015-03-15,78594
2015-03-16,66717
2015-03-17,61079
2015-03-18,62169
2015-03-19,49777
2015-03-20,54913
2015-03-21,61853
2015-03-22,74377
2015-03-23,60407
2015-03-24,62484
2015-03-25,61077
2015-03-26,57128
2015-03-27,61152
2015-03-28,73745
2015-03-29,71739
2015-03-30,64343
2015-03-31,62277
2015-04-01,58963
2015-04-02,61524
2015-04-04,42042
2015-04-05,84089
2015-04-06,64007
2015-04-07,61824
2015-04-08,52439
2015-04-09,53777
2015-04-10,52391
2015-04-11,76814
2015-04-12,72467
2015-04-13,64086
2015-04-14,74097
2015-04-15,64447
2015-04-16,56888
2015-04-17,60252
2015-04-18,71377
2015-04-19,60348
2015-04-20,61063
2015-04-21,58277
2015-04-22,56581
2015-04-23,61807
2015-04-24,68777
2015-04-25,73374
2015-04-26,87381
2015-04-27,68707
2015-04-28,65220
2015-04-29,64610
2015-04-30,66397
2015-05-01,68363
2015-05-02,79972
2015-05-03,85027
2015-05-04,72975
2015-05-05,68140
2015-05-06,61412
2015-05-07,63264
2015-05-08,67785
2015-05-09,85077
2015-05-10,80063
2015-05-11,69454
2015-05-12,69517
2015-05-13,68326
2015-05-14,69817
2015-05-15,73887
2015-05-16,90010
2015-05-17,90662
2015-05-18,80067
2015-05-19,61350
2015-05-20,70471
2015-05-21,73689
2015-05-23,95113
2015-05-24,95667
2015-05-25,88187
2015-05-28,73236
2015-05-29,67756
2015-05-30,83877
2015-05-31,86659
2015-06-02,74239
2015-06-03,72719
2015-06-04,76267
2015-06-05,73777
2015-06-06,99260
2015-06-07,89367
2015-06-08,87777
2015-06-09,75463
2015-06-10,83568
2015-06-11,78907
2015-06-12,71505
2015-06-13,100719
2015-06-14,94477
2015-06-15,90550
2015-06-16,75937
2015-06-17,60477
2015-06-18,72302
2015-06-19,66402
2015-06-20,92507
2015-06-21,90087
2015-06-22,83935
2015-06-23,72787
2015-06-24,68302
2015-06-26,66287
2015-06-27,85201
2015-06-28,89117
2015-06-29,82309
2015-06-30,74822
2015-07-01,57609
2015-07-02,71467
2015-07-03,66375
2015-07-04,88260
2015-07-05,90977
2015-07-06,85425
2015-07-07,76225
2015-07-08,70357
2015-07-09,67913
2015-07-10,67001
2015-07-11,89697
2015-07-12,88604
2015-07-13,72427
2015-07-14,72107
2015-07-15,60651
2015-07-16,60242
2015-07-17,67137
2015-07-18,87918
2015-07-19,90940
2015-07-20,86827
2015-07-21,76809
2015-07-22,68440
2015-07-23,62557
2015-07-24,64345
2015-07-26,78887
2015-07-27,70393
2015-07-28,66276
2015-07-29,63077
2015-07-30,63060
2015-07-31,62770
2015-08-01,75907
2015-08-02,83009
2015-08-03,62290
2015-08-04,63577
2015-08-05,60502
2015-08-06,65041
2015-08-07,62267
2015-08-08,82240
2015-08-09,80188
2015-08-10,71407
2015-08-11,60608
2015-08-12,60344
2015-08-13,59267
2015-08-14,64886
2015-08-15,88573
2015-08-16,91797
2015-08-17,86855
2015-08-18,68869
2015-08-19,63967
2015-08-20,64358
2015-08-21,66818
2015-08-22,81807
2015-08-23,84327
2015-08-24,67932
2015-08-25,63894
